,title,photo_url,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,availabilityStarts,url,allows_Occasional overnight guests,allows_Pets,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,n_Kitchens,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,"landlord_Female, 26-30 years old",landlord_Professional,landlord_Lives with family,landlord_Has pets,short_term_penalty_days,allows_Postgraduates,"landlord_Female, 40+ years old",allows_Full-time employees,allows_Female only,allows_Undergraduates,n_Dining Rooms,allows_Domestic students,allows_Male only,Requirements,allows_International students,"landlord_Female, 18-25 years old",landlord_Undergraduate student,"landlord_Male, 31-40 years old","landlord_Male, 40+ years old",Enclosed balcony,landlord_Female,"landlord_Female, 31-40 years old",landlord_Male,landlord_Postgraduate student,"landlord_Male, 18-25 years old",Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_wcs,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
0,"Huge double bedroom in an elegant 5-bedroom flat, in Marquês de Pombal",https://cdn-static-new.uniplaces.com/property-photos/34cf8b50771f7b04e462b8d0e19a6de9f7c055511206b3e3b061feb9b648b102/x-large.jpg,31.0,0,Double bedroom,2,5,3,750.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/435386,1,0,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,Moderate,200.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0.0,1
1,Large double bedroom close to the city center,https://cdn-static-new.uniplaces.com/property-photos/934d19ba585d2a26aabf482828c63b737cd4358e093051ebe1090d4a10718a5d/x-large.jpg,6.0,0,Double bedroom,2,7,1,440.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/436709,0,0,0,0,0,0,0,0,1,1,0,0,Monthly,Some included,Moderate,90.0,Weekly,135.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,200.0,1
2,Friendly Single Bedroom close to Monte Abraão Train Station,https://cdn-static-new.uniplaces.com/property-photos/42c77f2d24b708fdd17e2ddb163ae329989adafe6b43a8e92ac433d273f32b49/x-large.jpg,15.0,0,Single bedroom,1,6,2,260.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/83146,0,0,0,1,0,2,0,0,3,1,0,0,Fortnightly,Some included,Moderate,0.0,Monthly,90.0,Unknown,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,25.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0.0,1
3,Comfortable single bedroom in quiet Campolide,https://cdn-static-new.uniplaces.com/property-photos/66eeab8924c735f8ba6bdad21363fda62c562985067494cd64c0d3fee76b9184/x-large.jpg,18.0,0,Single bedroom,1,4,1,350.0,2022-01-21,https://www.uniplaces.com/accommodation/lisbon/421888,0,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,Moderate,0.0,Not specified,180.0,Campolide,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,,0,1,0,1,0,0,0,0.0,1
4,"Excellent single bedroom with a balcony, in Campolide",https://cdn-static-new.uniplaces.com/property-photos/7d3d188a3d8d1dbaaf5948c3bf8d244a297a07afd06c0fce9259ebef9e5b568c/x-large.jpg,20.0,0,Single bedroom,1,4,1,350.0,2022-01-21,https://www.uniplaces.com/accommodation/lisbon/421887,0,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,Moderate,0.0,Not specified,180.0,Campolide,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,,0,1,0,1,0,0,0,0.0,1
5,Cool single bedroom minutes away from Instituto Superior Técnico,https://cdn-static-new.uniplaces.com/property-photos/86ed6c0b8622d0dabbf679e89c5db9321ef55a3f0ee1a392ab4ea78319ef257b/x-large.jpg,10.0,5,Single bedroom,1,7,2,291.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/69757,1,0,0,0,0,1,0,0,3,0,0,1,Monthly,Included,Moderate,0.0,Weekly,145.0,Alameda,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,300.0,1
6,"Cosy single bedroom with an independent entrance, in Bairro Alto",https://cdn-static-new.uniplaces.com/property-photos/d48f2cd5772a39041621ccaf2e799c81bb8fef2d7482e5e7e326ac74fb250165/x-large.jpg,16.0,5,Single bedroom,1,5,1,300.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/47548,0,0,0,0,0,1,1,1,1,0,0,0,Fortnightly,Not included,Moderate,0.0,Weekly,27.0,Bairro Alto,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,1,1,1,1,60.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,8.0,0,0,0,1,0,1,0,0.0,1
7,"Cool double bedroom in Arroios, near Instituto Superior Técnico",https://cdn-static-new.uniplaces.com/property-photos/03742f07bef2820ee64c1a68de43f0a4740f894765a98c0343d8832475acb9cf/x-large.jpg,13.0,3,Single bedroom,2,9,2,280.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/69704,1,0,0,0,0,1,0,0,3,0,0,1,Monthly,Included,Moderate,90.0,Weekly,145.0,Arroios,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,300.0,1
8,Sunny single bedroom near Carcavelos train station,https://cdn-static-new.uniplaces.com/property-photos/ce38f4b4df7e82e6721aae2fd69723bcbb5457a15af1ece5888d3de749ddf097/x-large.jpg,7.0,0,Single bedroom,1,4,1,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/163049,0,0,0,1,1,1,1,1,1,0,0,0,Fortnightly,Some included,Strict,0.0,Weekly,90.0,Carcavelos,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,-150.0,1
9,Very nice single bedroom in Intendente,https://cdn-static-new.uniplaces.com/property-photos/985121d8c74047935a45c6f7855ced42a6d12998e5b694ee28848d820484fb37/x-large.jpg,19.0,0,Single bedroom,1,0,6,399.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/149775,0,0,0,0,0,0,1,1,2,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Intendente,0,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,,0,1,0,1,0,0,0,0.0,1
10,Fresh and bright single bedroom in Anjos,https://cdn-static-new.uniplaces.com/property-photos/b7a2385e7a6735a935a91144f0bb32fb4abfdd5a6fd9e9f0cfb139da498934fc/x-large.jpg,24.0,0,Single bedroom,1,0,6,399.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/22244,0,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Intendente,0,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,10.0,0,1,0,1,0,0,0,0.0,1
11,Lovely double bedroom near Instituto Politécnico de Lisboa - 1 month free,https://cdn-static-new.uniplaces.com/property-photos/834c35c583670b763d79fe32901a5c058032f26861f8b15a8d19b800d91c5077/x-large.jpg,11.0,3,Double bedroom,2,9,2,285.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/281783,1,0,0,1,1,1,0,0,0,0,0,0,Monthly,Included,Moderate,90.0,Weekly,80.0,Benfica,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,300.0,1
12,Classic single bedroom with a private bathroom in Benfica,https://cdn-static-new.uniplaces.com/property-photos/eefe23efa205daf3658ce2541928bc805ed31c51579f27e78f4ad2b07bfca46d/x-large.jpg,10.0,5,Single bedroom,1,7,4,340.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/47619,1,0,0,1,1,2,1,1,1,1,0,1,Fortnightly,Included,Moderate,0.0,Weekly,90.0,Benfica,1,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,0,1,1,2,1,0,0,0,0,0.0,0,1,1,0,0.0,1,1,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,220.0,,0,1,0,1,0,1,0,0.0,1
13,Homely double bedroom in Benfica,https://cdn-static-new.uniplaces.com/property-photos/39eda416baeafb3fb5c05eeda3c5410140adc3efe6daf76b30e74cf3609edb9d/x-large.jpg,8.0,0,Double bedroom,2,3,1,297.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/82409,0,0,0,1,1,1,0,0,2,0,0,0,Monthly,Included,Moderate,90.0,Weekly,27.0,Benfica,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,300.0,1
14,Great double bedroom not far from Alto dos Moinhos metro station,https://cdn-static-new.uniplaces.com/property-photos/5e642a19102b48e60a6757b4253240871fc60827b0a473c6288294ca1d68ab3a/x-large.jpg,9.0,0,Double bedroom,2,3,1,297.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/82960,0,0,0,0,0,0,0,0,2,0,1,1,Monthly,Included,Moderate,90.0,Weekly,90.0,Benfica,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,300.0,1
15,Room with single bed with private bathroom in city center,https://cdn-static-new.uniplaces.com/property-photos/46fa951c1fef85b6e3d16ef438e772ff4c31d649e8f8fead7afc029aea1b0d46/x-large.jpg,7.0,0,Single bedroom,1,7,1,420.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/346095,0,0,0,0,1,1,0,0,1,0,0,0,Fortnightly,Included,Moderate,0.0,Weekly,118.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,220.0,1
16,Single bedroom in 4-bedroom apartment with easy access to the subway,https://cdn-static-new.uniplaces.com/property-photos/e5c88804f2d4df476b6609060212cd219166b71d1f744ff1f4fe558a38bf6cc2/x-large.jpg,10.0,5,Single bedroom,1,4,2,300.0,2022-01-23,https://www.uniplaces.com/accommodation/lisbon/234084,0,0,0,1,0,1,0,0,2,1,0,1,Fortnightly,Some included,Moderate,0.0,Weekly,27.0,Lumiar,1,1,1,0,0,1,1,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0.0,1
17,Bright bedroom next to Carnide Metro Station,https://cdn-static-new.uniplaces.com/property-photos/6294338ee3b25dc67a4049afebcd90fdc3f5a4710455a41897d06e3bb1d81648/x-large.jpg,24.0,5,Single bedroom,1,5,2,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/57739,1,0,0,1,0,2,1,1,1,0,1,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Carnide,1,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,105.0,1.0,0,1,0,1,0,0,0,0.0,1
18,"Excellent single bedroom with a nice view, in São Sebastião",https://cdn-static-new.uniplaces.com/property-photos/c7bbd9d45b634ea671acacdea8a7dacce9a38e976d7e7fa7b584661c7ad8c19b/x-large.jpg,15.0,0,Single bedroom,1,10,3,430.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/435278,0,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,Moderate,0.0,Weekly,90.0,São Sebastião,1,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,1
19,Very pleasant single bedroom in São Sebastião,https://cdn-static-new.uniplaces.com/property-photos/0bc7c9cc3372dc05e1c0471bc71d258a9e219d950d4b51e9ab4af5f380827a0d/x-large.jpg,15.0,0,Single bedroom,1,10,3,430.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/435276,0,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,Moderate,0.0,Weekly,90.0,São Sebastião,1,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,1
20,"Elegant single bedroom in a flat, in São Sebastião",https://cdn-static-new.uniplaces.com/property-photos/6193e9d9649aa1c1419ecd5bc9bbaa1fa854284bdec30dd9f71f6ea85407d1ea/x-large.jpg,13.0,0,Single bedroom,1,10,3,430.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/435277,0,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,Moderate,0.0,Weekly,90.0,São Sebastião,1,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,1
21,Pleasant twin bedroom in near NOVA SBE,https://cdn-static-new.uniplaces.com/property-photos/37b95294300ba0e393ae043fac20cdc69f0d511bdd9323da4f160b6a363aec96/x-large.jpg,5.0,0,Twin bedroom,2,3,1,430.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/241667,0,0,0,1,0,2,1,1,3,1,1,1,Fortnightly,Some included,Moderate,100.0,Not specified,90.0,Unknown,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,2,0,0,0,0.0,1
22,Large double bedroom near NOVA SBE,https://cdn-static-new.uniplaces.com/property-photos/86a67d66d98ba8ffd92300d032d9acac018ce64504d55ee9233aa33733fe8dc5/x-large.jpg,6.0,0,Double bedroom,2,3,1,430.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/241668,0,0,0,0,0,2,1,1,3,1,1,1,Fortnightly,Included,Moderate,100.0,Not specified,90.0,Unknown,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0.0,1
23,Colourful single bedroom in Xabregas,https://cdn-static-new.uniplaces.com/property-photos/62d0e0a6acbdc22a53667e8351f7293a8183ae0880679d5437074bbf5948cbd7/x-large.jpg,29.0,5,Single bedroom,1,3,1,390.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/67500,0,0,0,1,0,2,1,1,3,1,0,1,Fortnightly,Included,Moderate,0.0,Monthly,27.0,Xabregas,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,0,0.0,0,0,0,0,0.0,1,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,15.0,10.0,0,1,0,1,0,0,0,0.0,1
24,Stupendous double bedroom near Fundação Calouste Gulbenkian,https://cdn-static-new.uniplaces.com/property-photos/b9f1516fa0ddcf6838b8c4bdf4e6233261c535d48a37aa6e94dcd9d1b1693ea0/x-large.jpg,15.0,0,Double bedroom,1,10,3,440.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/435285,0,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,Moderate,0.0,Weekly,90.0,São Sebastião,1,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0.0,1
25,Charming double bedroom within reach of ISCEM,https://cdn-static-new.uniplaces.com/property-photos/03977355d354c765161411934d483a5175135d7c0ed7c6c1ca71bc1d5aecfe2d/x-large.jpg,13.0,4,Double bedroom,2,5,1,380.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/47553,0,0,0,1,0,1,1,1,1,0,0,0,Fortnightly,Not included,Moderate,50.0,Weekly,27.0,Bairro Alto,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,1,1,1,1,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,,0,0,0,0,1,1,0,0.0,1
26,Beautiful double bedroom near ISCEM,https://cdn-static-new.uniplaces.com/property-photos/f5adec584a71565807332a083b2d3aaf5c675a756d894fd12548000501a9d3a6/x-large.jpg,17.0,5,Double bedroom,2,5,1,380.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/47551,0,0,0,0,0,1,1,1,1,1,0,0,Fortnightly,Not included,Moderate,50.0,Weekly,28.0,Bairro Alto,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.0,1,1,1,1,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,25.0,0,0,0,0,1,1,0,0.0,1
27,Spacious double bedroom with balcony close to Escola Superior de Comunicação Social,https://cdn-static-new.uniplaces.com/property-photos/9421f9300e313cccd0a20e007e2120a5dd182a3ebd165ec34a2ded5ba7875137/x-large.jpg,10.0,0,Double bedroom,1,3,2,400.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/422807,0,0,0,0,1,1,0,0,0,0,0,1,Fortnightly,Not included,Moderate,0.0,Not specified,180.0,Benfica,1,1,0,0,0,0,0,1,0,2,2,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0.0,1
28,Pretty neat single bedroom near Instituto Superior de Educação e Ciências,https://cdn-static-new.uniplaces.com/property-photos/ae7c6694792ac982d729e1573d928482f0e0776465859943c91d70916b404868/x-large.jpg,15.0,4,Single bedroom,1,4,1,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/24094,0,0,0,1,0,2,1,1,2,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Lumiar,1,1,1,0,0,0,1,1,0,2,2,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,0,0,0.0,0,0,0,0,0.0,1,0,0,1,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,15.0,9.0,0,1,1,1,0,0,1,0.0,1
29,Incredible double bedroom near Intendente metro station,https://cdn-static-new.uniplaces.com/property-photos/9dd0defaa767df8b86a69ff987378f2849a5d6008ac45ba9d31b1cf26863a2c6/x-large.jpg,33.0,0,Double bedroom,2,8,2,383.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/408049,0,0,0,1,1,1,0,0,3,0,0,1,Monthly,Included,Moderate,90.0,Weekly,140.0,Anjos,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,300.0,1
30,Lovely double bedroom near to the Saldanha metro station,https://cdn-static-new.uniplaces.com/property-photos/5740ab97d2862eb02d0b64a42f6a0dbc7f30555d469f89cb9de7eae20cfc2a5d/x-large.jpg,5.0,0,Double bedroom,2,7,1,448.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/69779,0,0,0,0,1,1,0,0,1,0,0,0,Monthly,Included,Moderate,90.0,Weekly,118.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,200.0,1
31,Homely and bright single room in Benfica,https://cdn-static-new.uniplaces.com/property-photos/b4370e3470160efad1af9cd3f4f78d052731a81377cea074e6cf2e4cac8ad7ce/x-large.jpg,15.0,0,Single bedroom,1,5,2,320.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/150759,0,0,0,1,1,1,0,0,1,1,0,0,Fortnightly,Not included,Moderate,0.0,Not specified,27.0,Benfica,1,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,240.0,,0,0,0,1,0,0,0,0.0,1
32,"Appealing twin bedroom in a cool hostel, in residential Anjos",https://cdn-static-new.uniplaces.com/property-photos/0dae9fe72cdd7dcdb9e19d73716f4b328bc27dad2945915918595c48684498a1/x-large.jpg,28.0,0,Twin bedroom,2,0,6,499.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/22248,0,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Intendente,0,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,20.0,0,1,0,2,0,0,0,0.0,1
33,Alluring twin bedroom in residential Anjos,https://cdn-static-new.uniplaces.com/property-photos/26c8824a2c133a3536e23690bb16e04ff80839e8205568f250cf5859be178723/x-large.jpg,28.0,0,Twin bedroom,2,0,6,499.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/22247,0,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Intendente,0,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,26.0,0,1,0,2,0,0,0,0.0,1
34,Double bedroom in 5-bedroom apartment,https://cdn-static-new.uniplaces.com/property-photos/7c528eae936f95b316f5211515dab8bf654a208f533c406944c3e7f67fdc423d/x-large.jpg,19.0,0,Double bedroom,1,5,2,450.0,2022-01-19,https://www.uniplaces.com/accommodation/lisbon/435423,0,0,0,1,1,1,0,1,1,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,60.0,Santa Apolónia,1,1,0,0,0,1,1,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0.0,1
35,Appealing double bedroom near the Instituto Superior de Economia e Gestão,https://cdn-static-new.uniplaces.com/property-photos/bd8a766cc629aeb8910da863bb1216822d3b52c3457e541d7974371b1ca047fb/x-large.jpg,11.0,0,Double bedroom,2,6,2,431.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/252471,0,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,Moderate,100.0,Not specified,118.0,Estrela,1,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,200.0,1
36,Suite with private wc and shared kitchen in center of Parede,https://cdn-static-new.uniplaces.com/property-photos/1ace64564e9461a2a0143455fbf122e6a110dca16865652cbd4593259d40aa1c/x-large.jpg,9.0,0,Double bedroom,1,5,1,475.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/214594,0,0,0,1,1,1,1,1,2,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,90.0,Carcavelos,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,12.0,,1,0,0,0,1,0,0,0.0,1
37,"Attractive single bedroom with a balcony, near Instituto Superior de Línguas e Administração de Lisboa",https://cdn-static-new.uniplaces.com/property-photos/125474b621af779a16123b34b0d7d2dfe0c042c21c9ea9d5bfcb8139e8ff1758/x-large.jpg,19.0,3,Single bedroom,1,5,2,250.0,2022-01-31,https://www.uniplaces.com/accommodation/lisbon/39836,0,0,0,1,0,1,1,1,1,0,0,1,Fortnightly,Included,Moderate,0.0,Weekly,27.0,Benfica,1,1,1,0,0,0,1,1,0,2,2,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,1,1,0,,1,0,0,0,0,0,0,0,0,0,0,90.0,14.0,0,0,0,1,0,0,0,0.0,1
