,title,photo_url,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,availabilityStarts,url,allows_Occasional overnight guests,allows_Pets,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,n_Kitchens,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,"landlord_Female, 26-30 years old",landlord_Professional,landlord_Lives with family,landlord_Has pets,short_term_penalty_days,allows_Postgraduates,"landlord_Female, 40+ years old",allows_Full-time employees,allows_Female only,allows_Undergraduates,n_Dining Rooms,allows_Domestic students,allows_Male only,Requirements,allows_International students,"landlord_Female, 18-25 years old",landlord_Undergraduate student,"landlord_Male, 31-40 years old","landlord_Male, 40+ years old",Enclosed balcony,landlord_Female,"landlord_Female, 31-40 years old",landlord_Male,landlord_Postgraduate student,"landlord_Male, 18-25 years old",Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_wcs,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
213,"Single bedroom in a 7-bedroom flat, in Saldanha",https://cdn-static-new.uniplaces.com/property-photos/d30e2fc1e1f241a3d01f8d0433b952aa8b1cf49fd0be5b1407f1ef420666f384/x-large.jpg,15.0,3,Single bedroom,1,7,2,299.0,2022-05-01,https://www.uniplaces.com/accommodation/lisbon/248831,1,0,0,1,0,2,0,0,2,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,2,2,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
214,Great single bedroom very close to Roma metro station,https://cdn-static-new.uniplaces.com/property-photos/a512355f623e54fddf35b84dd3a53464e9c7a0f4cba12228ffa6b39b5c79d21a/x-large.jpg,12.0,0,Single bedroom,1,3,2,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/436715,1,0,0,1,1,1,0,0,3,1,0,1,Monthly,Not included,Moderate,0.0,Weekly,120.0,Entrecampos,1,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0.0,1
215,Snug single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/3ddaf85a5612e614bae6695cd32f6cc24070b1809cbf409e21310d413fc3bbd2/x-large.jpg,17.0,5,Single bedroom,1,7,2,299.0,2022-07-01,https://www.uniplaces.com/accommodation/lisbon/248808,0,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,90.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
216,Homely single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/896fb21e8b2231043533979785df6173868f55b00b15bd061d190cd661fc1b92/x-large.jpg,16.0,0,Single bedroom,1,7,2,299.0,2022-04-01,https://www.uniplaces.com/accommodation/lisbon/264982,0,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,0,0,0,2,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
217,Cool single bedroom near Instituto Superior Técnico,https://cdn-static-new.uniplaces.com/property-photos/c504e7066eabddbdacedfe19877e0309f78fcb3df5196e4e27b8de4c4857a39d/x-large.jpg,11.0,0,Single bedroom,1,7,2,299.0,2022-06-01,https://www.uniplaces.com/accommodation/lisbon/69653,1,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,2,2,0,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
218,Appealing single bedroom close to the Santa Apolónia train station,https://cdn-static-new.uniplaces.com/property-photos/d89fff3b677f71318bb86f1b812b7d00af22dd6a5ea9faa2019ab3c1572534af/x-large.jpg,14.0,0,Single bedroom,1,5,2,350.0,2022-02-13,https://www.uniplaces.com/accommodation/lisbon/424707,0,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,60.0,Santa Apolónia,1,1,0,0,0,1,1,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0.0,0
219,Charismatic single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/daf3d4230ed94acb7e7f1580b74694d7adee8ec2f74900e27fe45d30a53594c2/x-large.jpg,19.0,5,Single bedroom,1,7,2,311.0,2022-03-01,https://www.uniplaces.com/accommodation/lisbon/248806,0,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
220,Very cosy single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/bed92f3b0114761ca1c34154eae7fd2832dd81c3530fd6b26d41270ad409dc5f/x-large.jpg,17.0,0,Single bedroom,1,7,2,311.0,2022-03-01,https://www.uniplaces.com/accommodation/lisbon/264981,0,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,0,0,0,2,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
221,Very nice single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/3edfeaf2ce7c836151595a542649202f56733499911e21c1fa34852c846da703/x-large.jpg,18.0,0,Single bedroom,1,8,3,400.0,2022-06-01,https://www.uniplaces.com/accommodation/lisbon/334014,0,0,0,1,0,1,0,0,4,1,0,1,Monthly,Included,Moderate,0.0,Not specified,27.0,Saldanha,1,1,1,0,0,1,1,0,0,3,3,2,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0.0,0,0,0,0,0.0,1,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,,0,1,0,1,0,0,0,0.0,0
222,Nice single bedroom,https://cdn-static-new.uniplaces.com/property-photos/ad9f6d8b60c259a884bf07fc7058b9771c4e576ab2505d3556141fd92fed73c2/x-large.jpg,7.0,0,Single bedroom,1,3,1,300.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/433386,0,0,0,1,1,0,0,0,0,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,180.0,Olivais,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,100.0,1
