,title,photo_url,n_thumbnails,rating,n_reviews,type,n_people,n_bedrooms,n_bathrooms,price,priceCurrency,availabilityStarts,availability,url,Occasional overnight guests,Pets,Smoking,1 Double bed,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Security deposit,Extra per tenant,Cleaning Frequency,Minimum stay,neighboorhood,n_Bathrooms,n_Kitchens,n_Living rooms,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,1 Single bed,Admin fee,Floor plan - 100 m2,"Female, 26-30 years old",Professional,Lives with family,Has pets,Bedroom area 8m 2,Short term penalty,Floor plan - 20 m2,Postgraduates,Floor plan - 110 m2,Bedroom area 10m 2,"Female, 40+ years old",Floor plan - 220 m2,Floor plan - 25 m2,Private bathroom,Bathroom,Bedroom area 1m 2,Floor plan - 105 m2,Floor plan - 5 m2,Floor plan - 4 m2,Floor plan - 13 m2,2 Single beds,Full-time employees,Floor plan - 8 m2,Floor plan - 15 m2,Bedroom area 25m 2,Female only,Bedroom area 9m 2,n_WCs,Floor plan - 10 m2,Undergraduates,Floor plan - 240 m2,Bedroom area 20m 2,Bedroom area 26m 2,Floor plan - 12 m2,Bedroom area 14m 2,n_Dining Rooms,Floor plan - 90 m2,Bedroom area 13m 2,Bedroom area 24m 2,Bedroom area 12m 2,Floor plan - 82 m2,Floor plan - 6 m2,Bedroom area 21m 2,Bedroom area 11m 2,Floor plan - 9 m2,Floor plan - 135 m2,Floor plan - 150 m2,Domestic students,Floor plan - 325 m2,Bedroom area 19m 2,The landlord didn’t provide any amenities for the Bathroom.,Floor plan - 280 m2,Floor plan - 40 m2,Bedroom area 18m 2,Floor plan - 160 m2,Floor plan - 14 m2,Floor plan - 18 m2,Floor plan - 85 m2,Male only,Requirements,n_Bathroom No photoss,Bedroom area 17m 2,Bedroom area 15m 2,Floor plan - 165 m2,Floor plan - 16 m2,International students,Floor plan - 400 m2,"Female, 18-25 years old",Undergraduate student,Floor plan - 126 m2,Floor plan - 30 m2,"Male, 31-40 years old",Floor plan - 75 m2,Floor plan - 120 m2,"Male, 40+ years old",Floor plan - 76 m2,Floor plan - 180 m2,Floor plan - 48 m2,Bedroom area 16m 2,n_Living room No photoss,Floor plan - 50 m2,Floor plan - 70 m2,Bedroom area 3m 2,Floor plan - 104 m2,Floor plan - 210 m2,Enclosed balcony,Floor plan - 98 m2,Female,Floor plan - 170 m2,Bedroom area 7m 2,Floor plan - 7 m2,Bedroom area 22m 2,Floor plan - 96 m2,Floor plan - 140 m2,Floor plan - 55 m2,Floor plan - 95 m2,Bedroom area 6m 2,Floor plan - 200 m2,Floor plan - 60 m2,Floor plan - 11 m2,n_WC No photoss,Floor plan - 130 m2,Bedroom area 32m 2,"Female, 31-40 years old",Male,Floor plan - 350 m2,Floor plan - 35 m2,2 Double beds,Floor plan - 190 m2,Postgraduate student,Floor plan - 21 m2,Bedroom area 30m 2,"Male, 18-25 years old",4 Single beds,Floor plan - 65 m2,Floor plan - 17 m2,Holding deposit,Floor plan - 300 m2,3 Single beds,Floor plan - 250 m2,Floor plan - 106 m2,Floor plan - 2 m2
294,Cosy single ensuite bedroom in Roma-Areeiro,https://cdn-static-new.uniplaces.com/property-photos/28c6db79cf798458f5e9a94db2e2e37993bd0f67b1720d6458517f35d55caac2/x-large.jpg,20,5,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""51321942-7771-4641-a9dd-ee353e582daf"")>",Single bedroom,Private bathroom,1 person,5-bedroom apartment,500,EUR,Wed Feb 16 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/51767,False,False,False,,False,0,2,True,True,3,1,0,0,Fortnightly,Included,Moderate,Equal to first rent,,Weekly,27 nights,Roma-Areeiro,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,True,True,0.0,1.0,True,,,,,,,,30 days,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Tasteful single bedroom in São Sebastião,https://cdn-static-new.uniplaces.com/property-photos/1a202e4379e583b2fd95a151d32c2351b8ba13a74dee6fe84afc2bfc9904b9ac/x-large.jpg,13,0,0,Single bedroom,1 person,10-bedroom apartment,3 bathrooms,440,EUR,Wed Feb 16 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/430170,False,False,False,,True,True,1,,,0,False,False,1,Fortnightly,Included,Moderate,Equal to first rent,,Weekly,90 nights,São Sebastião,3.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,True,True,True,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Sublime single bedroom in Intendente,https://cdn-static-new.uniplaces.com/property-photos/dc6fa51b5ed8585a9e70ea27814d0ef1b2472560362282d078c7b1e2eeba0324/x-large.jpg,21,0,0,Single bedroom,1 person,5-bedroom apartment,1 Bathroom,357,EUR,Fri Jul 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/423548,False,False,False,,True,True,1,,,0,False,False,False,Monthly,Included,Moderate,€557,,Weekly,120 nights,Intendente,1.0,1.0,,1.0,,,,0.0,,,,1,1,1,0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Cool single room in Estoril,https://cdn-static-new.uniplaces.com/property-photos/0e5d8be8c540bca7a47b5254042e06537218f34e84a725a357b8921f251ab4de/x-large.jpg,10,0,0,Single bedroom,1 person,3-bedroom apartment,1 Bathroom,300,EUR,Sun Jan 16 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/67748,False,False,False,,True,True,1,True,True,2,,,,Fortnightly,Not included,Moderate,Equal to first rent,,None,27 nights,Estoril,1.0,1.0,,1.0,,1.0,1.0,0.0,1.0,0.0,,1,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,True,,True,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Very cool single bedroom in São Sebastião,https://cdn-static-new.uniplaces.com/property-photos/ab2114ad2609c9b9b3f03a91fed26e9db2c46751fd99bb733593a7429e84b1d6/x-large.jpg,14,0,0,Single bedroom,1 person,10-bedroom apartment,3 bathrooms,430,EUR,Fri Jul 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/435283,False,False,False,,True,True,1,,,2,False,False,1,Fortnightly,Included,Moderate,Equal to first rent,,Weekly,90 nights,São Sebastião,3.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,False,True,True,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Nice single bedroom around Nova School of Business and Economics,https://cdn-static-new.uniplaces.com/property-photos/463f6f070d3c5a0c6bb8fb3dc4dd2dd5562e2ef2adf1d033c40be5202aa88e17/x-large.jpg,8,0,0,Single bedroom,1 person,4-bedroom apartment,2 bathrooms,350,EUR,Fri Jul 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/344780,False,False,False,,True,True,1,True,True,1,False,False,0,Fortnightly,Some included,Moderate,Equal to first rent,,Not specified,90 nights,Carcavelos,2.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,False,True,True,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,High-quality double bedroom in Xabregas,https://cdn-static-new.uniplaces.com/property-photos/8ca971891e44a0095809dec6920765f7a7326a64a272d5b3e764d33befdc60bf/x-large.jpg,28,5,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""d4608798-c030-43bf-b6a0-b07ff5b8a5d9"")>",Double bedroom,1 person,3-bedroom apartment,1 Bathroom,390,EUR,Tue Mar 01 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/67502,False,False,False,True,True,0,2,True,True,3,1,0,1,Fortnightly,Included,Moderate,Equal to first rent,,Monthly,27 nights,Xabregas,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0,True,True,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Excellent double bedroom in Benfica,https://cdn-static-new.uniplaces.com/property-photos/bb6bf21f5af3e6f4e3710ec7f8fcdaadc52f8915031a6d1b7222c5b329e9f922/x-large.jpg,13,0,0,Double bedroom,Up to 2 people,2-bedroom apartment,1 Bathroom,700,EUR,Wed Jun 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/434786,False,False,False,True,True,False,1,True,True,2,1,0,0,Fortnightly,Included,Moderate,Equal to first rent,,Weekly,27 nights,Benfica,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Inviting single room in Roma-Areeiro,https://cdn-static-new.uniplaces.com/property-photos/c46955c36ddb997ab8321757c3e31d060fa163d1f5ba9830d9b3af42797166d3/x-large.jpg,21,0,0,Single bedroom,1 person,5-bedroom apartment,2 bathrooms,300,EUR,Fri Jul 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/164687,False,False,False,,False,True,0,True,True,2,False,False,0,Fortnightly,Some included,Moderate,Equal to first rent,,None,90 nights,Roma-Areeiro,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,False,False,True,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Nice twin bedroom in Campolide,https://cdn-static-new.uniplaces.com/property-photos/c5ea8d09167c31098f4ce4d4ecab5916b80337e6f38a5e4c738127089a21a638/x-large.jpg,24,5,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""3d2f3944-d538-4256-9ca9-ea293d9368a9"")>",Twin bedroom,Up to 2 people,5-bedroom apartment,2 bathrooms,450,EUR,Fri Jul 01 2022 00:00:00 GMT+0100,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/161,False,False,False,,True,True,2,True,True,4,True,False,0,Monthly,Included,Moderate,Equal to first rent,€100/month,Weekly,27 nights,Campolide,2.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,2,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,0,True,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,True,,,,1.0,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
