,title,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,url,allows_Occasional overnight guests,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,Enclosed balcony,Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
800,Appealing double bedroom in trendy Marquês de Pombal area,26.0,0,Single bedroom,1,5,3,750.0,https://www.uniplaces.com/accommodation/lisbon/435395,1,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,0.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,,,0,1,1,0,0,0,0.0,1
801,Exquisite double bedroom close to popular Parque Eduardo VII,28.0,0,Double bedroom,1,5,3,750.0,https://www.uniplaces.com/accommodation/lisbon/435394,1,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,0.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,,,0,1,0,1,0,0,0.0,1
802,Comfortable double room in Saldanha,21.0,5,Double bedroom,1,20,5,375.0,https://www.uniplaces.com/accommodation/lisbon/209052,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,0,1,0,0,0.0,0
803,Cool single bedroom next to Saldanha metro station,30.0,5,Single bedroom,1,20,5,375.0,https://www.uniplaces.com/accommodation/lisbon/131082,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,0,2,2,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
804,Comfortable and bright room near Instituto Superior Técnico,16.0,5,Single bedroom,1,20,5,375.0,https://www.uniplaces.com/accommodation/lisbon/130096,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
805,"Cosy single bedroom in a 3-bedroom flat, close to Instituto Superior Técnico",16.0,4,Single bedroom,1,3,1,500.0,https://www.uniplaces.com/accommodation/lisbon/13004,0,0,0,1,0,1,1,2,0,0,0,Fortnightly,Included,0.0,Weekly,27.0,Alameda,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0.0,0,18.0,12.0,1,0,1,0,1,0,0.0,1
806,Classy single bedroom close to Instituto Superior Técnico,15.0,4,Single bedroom,1,3,2,500.0,https://www.uniplaces.com/accommodation/lisbon/96679,0,0,1,1,0,0,0,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Alameda,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0.0,0,18.0,18.0,0,0,1,0,1,0,0.0,1
807,Homely single room in Arroios,14.0,5,Single bedroom,1,9,3,300.0,https://www.uniplaces.com/accommodation/lisbon/120839,0,0,1,1,1,0,1,2,0,0,0,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,1,0,0,0,3,3,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,50.0,0,15.0,,0,0,1,0,0,0,0.0,0
808,Pleasant single bedroom near Instituto Superior Técnico,16.0,5,Single bedroom,1,6,2,300.0,https://www.uniplaces.com/accommodation/lisbon/49782,0,0,1,1,1,0,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,50.0,0,75.0,10.0,0,0,1,0,0,0,0.0,0
809,Nice single bedroom near Fonte Luminosa,41.0,0,Single bedroom,1,7,2,300.0,https://www.uniplaces.com/accommodation/lisbon/331499,0,0,0,1,1,1,1,0,0,0,0,Monthly,Included,0.0,Not specified,28.0,Arroios,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
