,title,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,url,allows_Occasional overnight guests,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,Enclosed balcony,Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
0,"Huge double bedroom in an elegant 5-bedroom flat, in Marquês de Pombal",31.0,0,Double bedroom,2,5,3,750.0,https://www.uniplaces.com/accommodation/lisbon/435386,1,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,200.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,,,0,1,0,1,0,0,0.0,1
1,Large double bedroom close to the city center,6.0,0,Double bedroom,2,7,1,440.0,https://www.uniplaces.com/accommodation/lisbon/436709,0,0,0,0,0,0,0,1,1,0,0,Monthly,Some included,90.0,Weekly,135.0,Saldanha,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,,,0,0,0,1,0,0,200.0,1
2,Friendly Single Bedroom close to Monte Abraão Train Station,15.0,0,Single bedroom,1,6,2,260.0,https://www.uniplaces.com/accommodation/lisbon/83146,0,0,1,0,2,0,0,3,1,0,0,Fortnightly,Some included,0.0,Monthly,90.0,Unknown,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,25.0,0,,,0,1,1,0,0,0,0.0,1
3,Comfortable single bedroom in quiet Campolide,18.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/421888,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,0.0,Not specified,180.0,Campolide,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,100.0,,0,1,1,0,0,0,0.0,1
4,"Excellent single bedroom with a balcony, in Campolide",20.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/421887,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,0.0,Not specified,180.0,Campolide,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,100.0,,0,1,1,0,0,0,0.0,1
5,Cool single bedroom minutes away from Instituto Superior Técnico,10.0,5,Single bedroom,1,7,2,291.0,https://www.uniplaces.com/accommodation/lisbon/69757,1,0,0,0,1,0,0,3,0,0,1,Monthly,Included,0.0,Weekly,145.0,Alameda,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,,,0,0,1,0,0,0,300.0,1
6,"Cosy single bedroom with an independent entrance, in Bairro Alto",16.0,5,Single bedroom,1,5,1,300.0,https://www.uniplaces.com/accommodation/lisbon/47548,0,0,0,0,1,1,1,1,0,0,0,Fortnightly,Not included,0.0,Weekly,27.0,Bairro Alto,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,0,100.0,8.0,0,0,1,0,1,0,0.0,1
7,"Cool double bedroom in Arroios, near Instituto Superior Técnico",13.0,3,Single bedroom,2,9,2,280.0,https://www.uniplaces.com/accommodation/lisbon/69704,1,0,0,0,1,0,0,3,0,0,1,Monthly,Included,90.0,Weekly,145.0,Arroios,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,,,0,0,1,0,0,0,300.0,1
8,Sunny single bedroom near Carcavelos train station,7.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/163049,0,0,1,1,1,1,1,1,0,0,0,Fortnightly,Some included,0.0,Weekly,90.0,Carcavelos,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,,,0,0,1,0,0,0,-150.0,1
9,Very nice single bedroom in Intendente,19.0,0,Single bedroom,1,0,6,399.0,https://www.uniplaces.com/accommodation/lisbon/149775,0,0,0,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,,0,1,1,0,0,0,0.0,1
10,Fresh and bright single bedroom in Anjos,24.0,0,Single bedroom,1,0,6,399.0,https://www.uniplaces.com/accommodation/lisbon/22244,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,10.0,0,1,1,0,0,0,0.0,1
11,Lovely double bedroom near Instituto Politécnico de Lisboa - 1 month free,11.0,3,Double bedroom,2,9,2,285.0,https://www.uniplaces.com/accommodation/lisbon/281783,1,0,1,1,1,0,0,0,0,0,0,Monthly,Included,90.0,Weekly,80.0,Benfica,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
12,Classic single bedroom with a private bathroom in Benfica,10.0,5,Single bedroom,1,7,4,340.0,https://www.uniplaces.com/accommodation/lisbon/47619,1,0,1,1,2,1,1,1,1,0,1,Fortnightly,Included,0.0,Weekly,90.0,Benfica,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,0,1,1,2,1,0,0,0,0,0.0,0,220.0,,0,1,1,0,1,0,0.0,1
13,Homely double bedroom in Benfica,8.0,0,Double bedroom,2,3,1,297.0,https://www.uniplaces.com/accommodation/lisbon/82409,0,0,1,1,1,0,0,2,0,0,0,Monthly,Included,90.0,Weekly,27.0,Benfica,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
14,Great double bedroom not far from Alto dos Moinhos metro station,9.0,0,Double bedroom,2,3,1,297.0,https://www.uniplaces.com/accommodation/lisbon/82960,0,0,0,0,0,0,0,2,0,1,1,Monthly,Included,90.0,Weekly,90.0,Benfica,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
15,Room with single bed with private bathroom in city center,7.0,0,Single bedroom,1,7,1,420.0,https://www.uniplaces.com/accommodation/lisbon/346095,0,0,0,1,1,0,0,1,0,0,0,Fortnightly,Included,0.0,Weekly,118.0,Saldanha,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,,,1,0,1,0,0,0,220.0,1
16,Single bedroom in 4-bedroom apartment with easy access to the subway,10.0,5,Single bedroom,1,4,2,300.0,https://www.uniplaces.com/accommodation/lisbon/234084,0,0,1,0,1,0,0,2,1,0,1,Fortnightly,Some included,0.0,Weekly,27.0,Lumiar,1,1,0,0,1,1,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0.0,0,,,0,1,1,0,0,0,0.0,1
17,Bright bedroom next to Carnide Metro Station,24.0,5,Single bedroom,1,5,2,350.0,https://www.uniplaces.com/accommodation/lisbon/57739,1,0,1,0,2,1,1,1,0,1,0,Fortnightly,Included,0.0,Not specified,27.0,Carnide,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0.0,0,105.0,1.0,0,1,1,0,0,0,0.0,1
18,"Excellent single bedroom with a nice view, in São Sebastião",15.0,0,Single bedroom,1,10,3,430.0,https://www.uniplaces.com/accommodation/lisbon/435278,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,,,0,0,1,0,0,0,0.0,1
19,Very pleasant single bedroom in São Sebastião,15.0,0,Single bedroom,1,10,3,430.0,https://www.uniplaces.com/accommodation/lisbon/435276,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,,,0,0,1,0,0,0,0.0,1
20,"Elegant single bedroom in a flat, in São Sebastião",13.0,0,Single bedroom,1,10,3,430.0,https://www.uniplaces.com/accommodation/lisbon/435277,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,,,0,0,1,0,0,0,0.0,1
21,Pleasant twin bedroom in near NOVA SBE,5.0,0,Twin bedroom,2,3,1,430.0,https://www.uniplaces.com/accommodation/lisbon/241667,0,0,1,0,2,1,1,3,1,1,1,Fortnightly,Some included,100.0,Not specified,90.0,Unknown,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0,0,,,0,1,2,0,0,0,0.0,1
22,Large double bedroom near NOVA SBE,6.0,0,Double bedroom,2,3,1,430.0,https://www.uniplaces.com/accommodation/lisbon/241668,0,0,0,0,2,1,1,3,1,1,1,Fortnightly,Included,100.0,Not specified,90.0,Unknown,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.0,0,,,0,1,0,1,0,0,0.0,1
23,Colourful single bedroom in Xabregas,29.0,5,Single bedroom,1,3,1,390.0,https://www.uniplaces.com/accommodation/lisbon/67500,0,0,1,0,2,1,1,3,1,0,1,Fortnightly,Included,0.0,Monthly,27.0,Xabregas,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,0,0.0,0,15.0,10.0,0,1,1,0,0,0,0.0,1
24,Stupendous double bedroom near Fundação Calouste Gulbenkian,15.0,0,Double bedroom,1,10,3,440.0,https://www.uniplaces.com/accommodation/lisbon/435285,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.0,0,,,0,0,0,1,0,0,0.0,1
25,Charming double bedroom within reach of ISCEM,13.0,4,Double bedroom,2,5,1,380.0,https://www.uniplaces.com/accommodation/lisbon/47553,0,0,1,0,1,1,1,1,0,0,0,Fortnightly,Not included,50.0,Weekly,27.0,Bairro Alto,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,0,100.0,,0,0,0,1,1,0,0.0,1
26,Beautiful double bedroom near ISCEM,17.0,5,Double bedroom,2,5,1,380.0,https://www.uniplaces.com/accommodation/lisbon/47551,0,0,0,0,1,1,1,1,1,0,0,Fortnightly,Not included,50.0,Weekly,28.0,Bairro Alto,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.0,0,100.0,25.0,0,0,0,1,1,0,0.0,1
27,Spacious double bedroom with balcony close to Escola Superior de Comunicação Social,10.0,0,Double bedroom,1,3,2,400.0,https://www.uniplaces.com/accommodation/lisbon/422807,0,0,0,1,1,0,0,0,0,0,1,Fortnightly,Not included,0.0,Not specified,180.0,Benfica,1,0,0,0,0,0,1,0,2,2,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.0,0,,,0,0,0,1,0,0,0.0,1
28,Pretty neat single bedroom near Instituto Superior de Educação e Ciências,15.0,4,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/24094,0,0,1,0,2,1,1,2,0,0,0,Fortnightly,Included,0.0,Not specified,27.0,Lumiar,1,1,0,0,0,1,1,0,2,2,1,0,1,1,1,1,1,1,1,1,0,2,1,0,1,0,0,0.0,0,15.0,9.0,0,1,1,0,0,1,0.0,1
29,Incredible double bedroom near Intendente metro station,33.0,0,Double bedroom,2,8,2,383.0,https://www.uniplaces.com/accommodation/lisbon/408049,0,0,1,1,1,0,0,3,0,0,1,Monthly,Included,90.0,Weekly,140.0,Anjos,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0,,,0,1,0,1,0,0,300.0,1
30,Lovely double bedroom near to the Saldanha metro station,5.0,0,Double bedroom,2,7,1,448.0,https://www.uniplaces.com/accommodation/lisbon/69779,0,0,0,1,1,0,0,1,0,0,0,Monthly,Included,90.0,Weekly,118.0,Saldanha,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,200.0,1
31,Homely and bright single room in Benfica,15.0,0,Single bedroom,1,5,2,320.0,https://www.uniplaces.com/accommodation/lisbon/150759,0,0,1,1,1,0,0,1,1,0,0,Fortnightly,Not included,0.0,Not specified,27.0,Benfica,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,240.0,,0,0,1,0,0,0,0.0,1
32,"Appealing twin bedroom in a cool hostel, in residential Anjos",28.0,0,Twin bedroom,2,0,6,499.0,https://www.uniplaces.com/accommodation/lisbon/22248,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,20.0,0,1,2,0,0,0,0.0,1
33,Alluring twin bedroom in residential Anjos,28.0,0,Twin bedroom,2,0,6,499.0,https://www.uniplaces.com/accommodation/lisbon/22247,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,26.0,0,1,2,0,0,0,0.0,1
34,Double bedroom in 5-bedroom apartment,19.0,0,Double bedroom,1,5,2,450.0,https://www.uniplaces.com/accommodation/lisbon/435423,0,0,1,1,1,0,1,1,0,0,0,Fortnightly,Included,0.0,Not specified,60.0,Santa Apolónia,1,0,0,0,1,1,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.0,0,,,0,0,0,1,0,0,0.0,1
35,Appealing double bedroom near the Instituto Superior de Economia e Gestão,11.0,0,Double bedroom,2,6,2,431.0,https://www.uniplaces.com/accommodation/lisbon/252471,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,100.0,Not specified,118.0,Estrela,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,200.0,1
36,Suite with private wc and shared kitchen in center of Parede,9.0,0,Double bedroom,1,5,1,475.0,https://www.uniplaces.com/accommodation/lisbon/214594,0,0,1,1,1,1,1,2,0,0,0,Fortnightly,Included,0.0,Not specified,90.0,Carcavelos,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0,0,12.0,,1,0,0,1,0,0,0.0,1
37,"Attractive single bedroom with a balcony, near Instituto Superior de Línguas e Administração de Lisboa",19.0,3,Single bedroom,1,5,2,250.0,https://www.uniplaces.com/accommodation/lisbon/39836,0,0,1,0,1,1,1,1,0,0,1,Fortnightly,Included,0.0,Weekly,27.0,Benfica,1,1,0,0,0,1,1,0,2,2,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,90.0,14.0,0,0,1,0,0,0,0.0,1
38,Single room in Chelas,11.0,5,Single bedroom,1,5,3,375.0,https://www.uniplaces.com/accommodation/lisbon/83776,0,0,1,0,1,0,0,1,1,0,0,Fortnightly,Included,0.0,Weekly,27.0,Unknown,1,1,0,0,0,0,0,0,3,3,3,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0.0,0,100.0,,0,1,1,0,0,1,0.0,1
39,Comfy double bedroom in a residence in Alcântara,14.0,3,Double bedroom,2,0,2,410.0,https://www.uniplaces.com/accommodation/lisbon/70116,1,0,1,1,1,0,0,1,0,0,0,Monthly,Included,90.0,Weekly,118.0,Alcântara,1,0,0,0,0,0,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0.0,0,110.0,13.0,0,0,0,1,0,0,210.0,1
40,"Charming Bedroom with private bathroom, in residence",40.0,0,Twin bedroom,1,0,5,550.0,https://www.uniplaces.com/accommodation/lisbon/51437,0,0,1,0,2,1,1,3,1,0,0,Fortnightly,Included,0.0,Weekly,90.0,Unknown,1,0,1,1,1,0,0,0,5,5,5,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0.0,0,,,0,1,2,0,0,0,-50.0,1
41,Awesome single bedroom close to IST,11.0,0,Single bedroom,1,7,3,550.0,https://www.uniplaces.com/accommodation/lisbon/271050,0,0,1,0,1,0,0,4,1,0,0,Fortnightly,Some included,0.0,Weekly,27.0,Roma-Areeiro,1,1,0,0,1,1,1,0,2,2,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0.0,0,,,0,1,1,0,0,1,0.0,1
42,Charming single bedroom in Lumiar,20.0,0,Single bedroom,1,5,2,450.0,https://www.uniplaces.com/accommodation/lisbon/422843,0,0,0,0,0,0,0,0,0,0,0,Fortnightly,Not included,0.0,Not specified,180.0,Lumiar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,1,1,0,0,0,0.0,1
43,"Homely double bedroom in Arroios, near Instituto Superior Técnico",12.0,3,Double bedroom,2,9,2,436.0,https://www.uniplaces.com/accommodation/lisbon/42862,1,0,0,0,1,0,0,3,0,0,1,Monthly,Included,90.0,Weekly,145.0,Arroios,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,,,0,0,0,1,0,0,200.0,1
44,"Fantastic double bedroom, with private bathroom",21.0,0,Double bedroom,2,0,6,650.0,https://www.uniplaces.com/accommodation/lisbon/94406,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,,0,1,0,1,0,0,0.0,1
45,Welcoming double ensuite bedroom near the Intendente metro,27.0,0,Double bedroom,2,0,2,650.0,https://www.uniplaces.com/accommodation/lisbon/22245,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,24.0,1,1,0,1,0,0,0.0,1
46,Tasteful double ensuite bedroom in Anjos,20.0,0,Double bedroom,2,0,2,650.0,https://www.uniplaces.com/accommodation/lisbon/22246,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,26.0,1,1,0,1,0,0,0.0,1
47,Great double bedroom close to Inst. Superior Agronomia and Universidade da Ajuda,19.0,0,Single bedroom,1,3,2,400.0,https://www.uniplaces.com/accommodation/lisbon/432210,0,0,1,0,1,0,0,2,1,0,0,Monthly,Some included,0.0,Fortnightly,90.0,Ajuda,1,1,0,0,1,0,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.0,0,,,0,1,1,0,0,0,0.0,1
48,Tasteful double ensuite bedroom in Anjos,20.0,0,Double bedroom,2,0,2,650.0,https://www.uniplaces.com/accommodation/lisbon/22246,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,26.0,1,1,0,1,0,0,0.0,1
49,Great double bedroom close to Inst. Superior Agronomia and Universidade da Ajuda,19.0,0,Single bedroom,1,3,2,400.0,https://www.uniplaces.com/accommodation/lisbon/432210,0,0,1,0,1,0,0,2,1,0,0,Monthly,Some included,0.0,Fortnightly,90.0,Ajuda,1,1,0,0,1,0,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.0,0,,,0,1,1,0,0,0,0.0,1
50,Charismatic twin ensuite bedroom in Benfica,16.0,0,Twin bedroom,2,5,2,400.0,https://www.uniplaces.com/accommodation/lisbon/59423,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Not included,50.0,Not specified,27.0,Benfica,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,240.0,,1,0,2,0,0,0,0.0,1
51,Double Room in 4-bedroom apartment with easy access to subway,12.0,5,Double bedroom,2,4,2,500.0,https://www.uniplaces.com/accommodation/lisbon/234946,0,0,1,0,1,0,0,2,1,0,1,Fortnightly,Some included,0.0,Weekly,27.0,Lumiar,1,1,0,0,1,1,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0.0,0,,,0,1,0,1,0,0,0.0,1
52,Delightful single bedroom near to Instituto Politécnico de Lisboa,19.0,3,Single bedroom,1,5,2,300.0,https://www.uniplaces.com/accommodation/lisbon/39837,0,0,1,0,1,1,1,1,0,0,1,Fortnightly,Included,0.0,Weekly,27.0,Benfica,1,1,0,0,0,1,1,0,2,2,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,90.0,12.0,0,0,1,0,0,0,0.0,1
53,Quite comfortable double bedroom in Moscavide,22.0,3,Double bedroom,1,2,1,400.0,https://www.uniplaces.com/accommodation/lisbon/24937,0,1,1,0,2,1,1,2,1,0,2,Fortnightly,Included,0.0,Weekly,27.0,Parque das Nações,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0.0,0,82.0,12.0,0,1,0,1,1,0,0.0,1
54,"Quarto 306, Santos, Lisboa.",5.0,5,Single bedroom,1,8,1,290.0,https://www.uniplaces.com/accommodation/lisbon/238591,0,0,1,0,1,0,0,2,1,0,1,Fortnightly,Some included,0.0,Weekly,27.0,Santos,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.0,0,,,0,1,1,0,0,1,0.0,0
55,Pleasant single bedroom in the Alameda neighbourhood,32.0,5,Single bedroom,1,11,2,330.0,https://www.uniplaces.com/accommodation/lisbon/1460,1,0,1,1,1,0,0,0,0,0,0,Fortnightly,Included,0.0,Weekly,27.0,Alameda,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.0,0,20.0,,0,0,1,0,0,0,0.0,0
56,Delightful double bedroom in Alfama,15.0,0,Double bedroom,1,4,3,725.0,https://www.uniplaces.com/accommodation/lisbon/434852,1,0,1,0,2,0,0,1,1,0,0,Fortnightly,Included,0.0,Not specified,90.0,Alfama,1,0,1,0,0,1,0,0,3,3,3,0,1,1,1,1,1,1,0,0,0,2,1,0,1,1,1,0.0,0,,21.0,0,1,0,1,0,0,362.0,1
57,Cosy double bedroom in classic Alfama,15.0,0,Double bedroom,1,4,3,775.0,https://www.uniplaces.com/accommodation/lisbon/434864,1,0,1,0,1,0,0,1,1,0,0,Fortnightly,Included,0.0,Not specified,90.0,Alfama,1,0,1,0,0,1,0,0,3,3,3,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0.0,0,,11.0,0,1,0,1,0,0,387.0,1
58,"Double bedroom, with balcony, in 4-bedroom apartment",14.0,5,Double bedroom,2,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/12189,0,0,0,1,1,1,1,1,0,0,0,Fortnightly,Included,100.0,Weekly,27.0,Martim Moniz,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.0,0,100.0,10.0,0,0,0,1,1,0,0.0,1
59,Comfortable single bedroom near Anjos metro station,15.0,5,Single bedroom,1,9,3,350.0,https://www.uniplaces.com/accommodation/lisbon/120834,0,0,1,1,1,0,1,2,0,0,0,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,1,0,0,0,3,3,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,50.0,0,15.0,13.0,0,0,1,0,0,0,0.0,0
60,Inviting double bedroom in a residence in proximity to Jardim da Estrela,13.0,3,Double bedroom,2,0,2,420.0,https://www.uniplaces.com/accommodation/lisbon/70117,1,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,90.0,Weekly,118.0,Alcântara,1,0,0,0,0,0,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0.0,0,110.0,13.0,0,0,0,1,0,0,200.0,1
61,"Welcoming single bedroom in Restelo, bordering Algés",11.0,5,Single bedroom,1,4,2,325.0,https://www.uniplaces.com/accommodation/lisbon/50855,0,0,0,1,2,1,1,4,1,0,1,Fortnightly,Included,0.0,Weekly,27.0,Restelo,1,0,0,0,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0.0,0,135.0,,0,1,1,0,0,0,0.0,0
62,Pleasant single bedroom close to typical Jardim da Estrela,14.0,4,Single bedroom,1,6,2,336.0,https://www.uniplaces.com/accommodation/lisbon/55708,0,0,0,1,0,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,118.0,Estrela,1,0,0,0,0,0,0,0,3,3,0,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0.0,0,10.0,12.0,0,0,1,0,0,0,200.0,0
63,Cozy bedroom next to Blue Metro line easy access to University and downtown,15.0,5,Single bedroom,1,5,2,330.0,https://www.uniplaces.com/accommodation/lisbon/130917,1,0,1,0,2,0,0,1,1,1,1,Fortnightly,Included,0.0,Not specified,27.0,Unknown,1,1,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.0,0,150.0,11.0,0,1,1,0,0,0,0.0,0
64,Spacious and tasteful double bedroom in Monte Abraão,26.0,5,Double bedroom,1,4,2,300.0,https://www.uniplaces.com/accommodation/lisbon/408456,0,0,1,1,1,0,0,1,1,0,0,Fortnightly,Included,0.0,Not specified,90.0,Amadora,1,0,1,0,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0.0,0,,,0,0,0,1,0,0,-50.0,0
65,Appealing bedroom next to Metro line easy access to University,25.0,5,Single bedroom,1,5,2,370.0,https://www.uniplaces.com/accommodation/lisbon/57740,1,0,1,0,2,1,1,1,0,1,0,Fortnightly,Included,0.0,Not specified,27.0,Carnide,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,2,1,0,1,0,1,0.0,0,105.0,12.0,0,1,1,0,0,0,0.0,0
